Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,11600.0,12100.0,10750.0,11100.0,10657.171875,15462185
2019-11-15,11950.0,12500.0,11600.0,12200.0,11713.2880859375,5304317
2019-11-18,12200.0,12550.0,12000.0,12200.0,11713.2880859375,2652187
2019-11-19,12300.0,12350.0,11650.0,11900.0,11425.255859375,1411800
2019-11-20,11850.0,11850.0,11200.0,11250.0,10801.1875,1859794
2019-11-21,11250.0,11400.0,10750.0,10800.0,10369.1396484375,1441331
2019-11-22,10900.0,11150.0,10800.0,10850.0,10417.1455078125,953073
2019-11-25,11000.0,11100.0,10850.0,11000.0,10561.1611328125,596616
2019-11-26,11000.0,11050.0,10600.0,10700.0,10273.1298828125,1143632
2019-11-27,10700.0,10800.0,10250.0,10300.0,9889.0869140625,1139149
2019-11-28,10350.0,10650.0,10200.0,10350.0,9937.0927734375,673064
2019-11-29,10450.0,10500.0,10100.0,10100.0,9697.06640625,624067
2019-12-02,10100.0,10400.0,9740.0,10250.0,9841.0830078125,1043572
2019-12-03,10200.0,10400.0,9990.0,10350.0,9937.0927734375,458199
2019-12-04,10250.0,10650.0,10200.0,10400.0,9985.09765625,605963
2019-12-05,10400.0,10900.0,10250.0,10750.0,10321.134765625,809672
2019-12-06,10650.0,11050.0,10600.0,10950.0,10513.15625,687507
2019-12-09,11150.0,11150.0,10750.0,10800.0,10369.1396484375,547491
2019-12-10,10800.0,10950.0,10750.0,10950.0,10513.15625,327883
2019-12-11,11000.0,11100.0,10750.0,10900.0,10465.1513671875,460356
2019-12-12,10950.0,11000.0,10700.0,10900.0,10465.1513671875,475215
2019-12-13,10900.0,10950.0,10650.0,10750.0,10321.134765625,645240
2019-12-16,10750.0,10750.0,10500.0,10600.0,10177.119140625,310051
2019-12-17,10650.0,10700.0,10450.0,10550.0,10129.11328125,404434
2019-12-18,10550.0,10550.0,10150.0,10250.0,9841.0830078125,711197
2019-12-19,10300.0,10400.0,10000.0,10100.0,9697.06640625,668049
2019-12-20,10100.0,10300.0,10050.0,10300.0,9889.0869140625,391198
2019-12-23,10300.0,10400.0,10250.0,10300.0,9889.0869140625,328837
2019-12-24,10250.0,10300.0,10100.0,10150.0,9745.0712890625,395395
2019-12-26,10150.0,10400.0,10050.0,10250.0,9841.0830078125,470460
2019-12-27,10300.0,10300.0,10150.0,10200.0,10063.20703125,292908
2019-12-30,10400.0,10400.0,10250.0,10350.0,10211.1953125,346604
2020-01-02,10450.0,10500.0,10350.0,10400.0,10260.5244140625,218029
2020-01-03,10400.0,10400.0,10150.0,10250.0,10112.5361328125,480865
2020-01-06,10300.0,10300.0,10050.0,10050.0,9915.21875,327864
2020-01-07,10150.0,10200.0,10000.0,10150.0,10013.876953125,412853
2020-01-08,10150.0,11850.0,10100.0,10850.0,10704.4892578125,8360503
2020-01-09,10200.0,10250.0,9980.0,10100.0,9964.5478515625,2749832
2020-01-10,10150.0,10200.0,9960.0,9970.0,9836.291015625,1363218
2020-01-13,9920.0,10000.0,9750.0,9770.0,9638.9736328125,1413859
2020-01-14,9820.0,9990.0,9820.0,9900.0,9767.23046875,661554
2020-01-15,9900.0,9940.0,9810.0,9840.0,9708.03515625,457537
2020-01-16,9860.0,9960.0,9840.0,9860.0,9727.7666015625,378924
2020-01-17,9850.0,9900.0,9780.0,9780.0,9648.83984375,426352
2020-01-20,9790.0,9870.0,9570.0,9630.0,9500.8505859375,884423
2020-01-21,9600.0,9660.0,9300.0,9300.0,9175.2763671875,1228260
2020-01-22,9350.0,9510.0,9320.0,9320.0,9195.0087890625,454405
2020-01-23,9300.0,9350.0,9120.0,9200.0,9076.6181640625,693922
2020-01-28,8980.0,8980.0,8830.0,8900.0,8780.6416015625,673279
2020-01-29,9000.0,9180.0,8870.0,9060.0,8938.4951171875,442734
2020-01-30,9020.0,9450.0,9000.0,9200.0,9076.6181640625,693338
2020-01-31,9120.0,9480.0,9120.0,9220.0,9096.349609375,639107
2020-02-03,9070.0,9370.0,8950.0,9320.0,9195.0087890625,423649
2020-02-04,9320.0,9360.0,9190.0,9250.0,9125.947265625,525437
2020-02-05,9260.0,9280.0,9070.0,9200.0,9076.6181640625,379188
2020-02-06,9230.0,9430.0,9200.0,9330.0,9204.8740234375,545249
2020-02-07,9340.0,9630.0,9260.0,9570.0,9441.6552734375,575459
2020-02-10,9510.0,9720.0,9450.0,9530.0,9402.1923828125,468661
2020-02-11,9580.0,9610.0,9360.0,9370.0,9244.337890625,521276
2020-02-12,9420.0,9440.0,9220.0,9360.0,9234.4716796875,364591
2020-02-13,9320.0,9420.0,9120.0,9200.0,9076.6181640625,521836
2020-02-14,9200.0,9250.0,9180.0,9220.0,9096.349609375,129902
2020-02-17,9240.0,9330.0,9220.0,9270.0,9145.6787109375,245563
2020-02-18,9220.0,9360.0,9200.0,9270.0,9145.6787109375,311016
2020-02-19,9330.0,9620.0,9220.0,9610.0,9481.119140625,752972
2020-02-20,9670.0,9680.0,9450.0,9610.0,9481.119140625,615593
2020-02-21,9490.0,9600.0,9410.0,9510.0,9382.4599609375,456614
2020-02-24,9400.0,9400.0,8900.0,8900.0,8780.6416015625,728264
2020-02-25,8850.0,9060.0,8790.0,8800.0,8681.982421875,718744
2020-02-26,8660.0,8820.0,8590.0,8630.0,8514.26171875,581453
2020-02-27,8630.0,8750.0,8280.0,8300.0,8188.68798828125,763886
2020-02-28,8120.0,8480.0,8000.0,8180.0,8070.29736328125,739732
2020-03-02,8190.0,8310.0,8010.0,8100.0,7991.3701171875,740239
2020-03-03,8230.0,8300.0,8030.0,8030.0,7922.30859375,433174
2020-03-04,8010.0,8130.0,8010.0,8090.0,7981.50439453125,352862
2020-03-05,8160.0,8330.0,8120.0,8200.0,8090.02880859375,514969
2020-03-06,8170.0,8170.0,8020.0,8060.0,7951.90673828125,428289
2020-03-09,8020.0,8020.0,7460.0,7520.0,7419.1484375,1006446
2020-03-10,7450.0,7610.0,7300.0,7560.0,7458.61181640625,490271
2020-03-11,7610.0,7620.0,7210.0,7270.0,7172.50146484375,529785
2020-03-12,7180.0,7210.0,6780.0,6820.0,6728.5361328125,666520
2020-03-13,6060.0,6590.0,6050.0,6380.0,6294.43701171875,909665
2020-03-16,6420.0,6760.0,6340.0,6340.0,6254.9736328125,432797
2020-03-17,6110.0,6360.0,6060.0,6130.0,6047.7900390625,606556
2020-03-18,6150.0,6220.0,5740.0,5740.0,5663.02001953125,757701
2020-03-19,5800.0,5830.0,4700.0,4845.0,4780.0234375,1186417
2020-03-20,4850.0,5230.0,4815.0,5150.0,5080.9326171875,603912
2020-03-23,4800.0,4895.0,4670.0,4730.0,4666.5654296875,657949
2020-03-24,4850.0,5130.0,4805.0,5120.0,5051.3349609375,696857
2020-03-25,5380.0,6090.0,5330.0,5930.0,5850.47216796875,1103075
2020-03-26,6200.0,6390.0,5840.0,6170.0,6087.25341796875,1079774
2020-03-27,6470.0,6510.0,6150.0,6300.0,6215.51025390625,733914
2020-03-30,6050.0,6520.0,6030.0,6470.0,6383.22998046875,664822
2020-03-31,6690.0,7490.0,6630.0,7080.0,6985.04931640625,1098021
2020-04-01,7080.0,7900.0,6900.0,7510.0,7409.28271484375,1319626
2020-04-02,7630.0,7910.0,7300.0,7530.0,7429.01416015625,591756
2020-04-03,7530.0,7600.0,7260.0,7400.0,7300.7578125,413020
2020-04-06,7290.0,7520.0,7140.0,7450.0,7350.08740234375,663629
2020-04-07,7580.0,7650.0,7410.0,7600.0,7498.07568359375,625409
2020-04-08,7530.0,7690.0,7380.0,7600.0,7498.07568359375,514063
2020-04-09,7700.0,7740.0,7550.0,7600.0,7498.07568359375,457403
2020-04-10,7600.0,7690.0,7530.0,7640.0,7537.5390625,327864
2020-04-13,7640.0,7660.0,7190.0,7250.0,7152.76953125,584264
2020-04-14,7300.0,7460.0,7280.0,7380.0,7281.02587890625,338372
2020-04-16,7340.0,7620.0,7180.0,7550.0,7448.74609375,442062
2020-04-17,7790.0,7820.0,7670.0,7710.0,7606.6005859375,410209
2020-04-20,7890.0,8280.0,7720.0,8160.0,8050.5654296875,976840
2020-04-21,8160.0,9700.0,7970.0,8290.0,8178.82177734375,10767741
2020-04-22,8200.0,8580.0,8080.0,8130.0,8020.9677734375,1494952
2020-04-23,8160.0,8380.0,8160.0,8250.0,8139.3583984375,936682
2020-04-24,8360.0,8980.0,8350.0,8770.0,8652.384765625,3395201
2020-04-27,8770.0,8910.0,8450.0,8710.0,8593.189453125,1339446
2020-04-28,8710.0,9160.0,8520.0,8770.0,8652.384765625,2663752
2020-04-29,8770.0,8920.0,8690.0,8720.0,8603.0546875,974538
