Date,Open,High,Low,Close,Adj Close,Volume
2018-01-03,49400.0,50100.0,49350.0,49950.0,43368.08984375,684675
2018-01-04,50300.0,50300.0,49400.0,49400.0,42890.5625,912529
2018-01-05,49650.0,50500.0,49600.0,50100.0,43498.32421875,680197
2018-01-08,50500.0,52000.0,50400.0,52000.0,45147.9609375,1431877
2018-01-09,52800.0,52800.0,52100.0,52300.0,45408.4296875,1193498
2018-01-10,52400.0,52900.0,52300.0,52500.0,45582.07421875,906245
2018-01-11,52500.0,52500.0,51700.0,52000.0,45147.9609375,1057034
2018-01-12,53400.0,53500.0,52700.0,53000.0,46016.1953125,1016178
2018-01-15,53500.0,53500.0,52500.0,53300.0,46276.66015625,517193
2018-01-16,53300.0,53300.0,51600.0,52200.0,45321.609375,810085
2018-01-17,51600.0,52800.0,51600.0,52700.0,45755.72265625,709354
2018-01-18,52300.0,53000.0,51000.0,51100.0,44366.55078125,1415316
2018-01-19,52500.0,53000.0,51900.0,52900.0,45929.37109375,1050435
2018-01-22,53700.0,53700.0,51600.0,51800.0,44974.31640625,977376
2018-01-23,52300.0,53000.0,52000.0,53000.0,46016.1953125,898072
2018-01-24,53000.0,53100.0,52200.0,52700.0,45755.72265625,719303
2018-01-25,52100.0,52700.0,51600.0,51900.0,45061.140625,753284
2018-01-26,51400.0,52200.0,51200.0,51800.0,44974.31640625,891158
2018-01-29,52500.0,53200.0,52400.0,52700.0,45755.72265625,865037
2018-01-30,52700.0,53700.0,52700.0,53400.0,46363.484375,1482202
2018-01-31,53200.0,53300.0,51500.0,53300.0,46276.66015625,1349913
2018-02-01,52800.0,53300.0,52400.0,52600.0,45668.89453125,948577
2018-02-02,52600.0,53000.0,52000.0,52800.0,45842.546875,725289
2018-02-05,52800.0,53300.0,52300.0,52500.0,45582.07421875,807406
2018-02-06,51700.0,51800.0,49700.0,50600.0,43932.4375,1225465
2018-02-07,51300.0,51400.0,49350.0,49400.0,42890.5625,1148106
2018-02-08,48800.0,50400.0,48650.0,49600.0,43064.20703125,1348592
2018-02-09,48450.0,48850.0,47250.0,47800.0,41501.3984375,1362972
2018-02-12,47950.0,48700.0,47750.0,48350.0,41978.921875,739355
2018-02-13,48400.0,48900.0,47900.0,47900.0,41588.21875,1109326
2018-02-14,47450.0,47950.0,47150.0,47300.0,41067.28125,1602309
2018-02-19,48100.0,48250.0,47800.0,48100.0,41761.86328125,745849
2018-02-20,48100.0,48400.0,47700.0,48200.0,41848.6875,719554
2018-02-21,48200.0,48300.0,47350.0,48150.0,41805.27734375,821473
2018-02-22,47750.0,48100.0,47550.0,47750.0,41457.984375,699030
2018-02-23,47850.0,48600.0,47650.0,48450.0,42065.74609375,746896
2018-02-26,48900.0,48900.0,47400.0,47450.0,41197.515625,1321986
2018-02-27,47500.0,47950.0,46950.0,46950.0,40763.40234375,1163607
2018-02-28,46600.0,47400.0,46600.0,47400.0,41154.1015625,1810742
2018-03-02,47450.0,47450.0,46400.0,46450.0,40329.28515625,1330036
2018-03-05,46400.0,46550.0,45050.0,45150.0,39200.58203125,1365915
2018-03-06,45250.0,45650.0,44650.0,44650.0,38766.46875,1465750
2018-03-07,43800.0,44750.0,43750.0,44550.0,38679.6484375,1676704
2018-03-08,45100.0,45150.0,44100.0,44950.0,39026.9375,1584054
2018-03-09,45000.0,45250.0,44450.0,45250.0,39287.41015625,1007099
2018-03-12,45600.0,46250.0,44800.0,46000.0,39938.58203125,1049208
2018-03-13,45350.0,45500.0,44950.0,45250.0,39287.41015625,998320
2018-03-14,45000.0,45400.0,44650.0,44750.0,38853.29296875,666644
2018-03-15,44600.0,44950.0,44300.0,44700.0,38809.87890625,854478
2018-03-16,44550.0,45250.0,44550.0,45050.0,39113.76171875,1064712
2018-03-19,45100.0,45150.0,44750.0,45050.0,39113.76171875,509055
2018-03-20,44600.0,45100.0,44400.0,45050.0,39113.76171875,699218
2018-03-21,45000.0,45800.0,45000.0,45400.0,39417.640625,1051614
2018-03-22,46300.0,46300.0,45500.0,46100.0,40025.40625,1261583
2018-03-23,45000.0,45300.0,44600.0,44750.0,38853.29296875,1219573
2018-03-26,44750.0,45150.0,44200.0,45100.0,39157.17578125,948921
2018-03-27,45300.0,46350.0,45250.0,45950.0,39895.16796875,1278411
2018-03-28,45450.0,45450.0,44600.0,45050.0,39113.76171875,857875
2018-03-29,45050.0,45300.0,44550.0,45150.0,39200.58203125,1065117
2018-03-30,45650.0,45900.0,45500.0,45700.0,39678.1171875,1036164
2018-04-02,45700.0,46200.0,45250.0,45400.0,39417.640625,938681
2018-04-03,45200.0,45200.0,43650.0,43950.0,38158.70703125,1688993
2018-04-04,44100.0,44700.0,43900.0,44200.0,38375.76953125,972928
2018-04-05,44600.0,44700.0,44100.0,44300.0,38462.59375,720098
2018-04-06,44400.0,44750.0,44250.0,44700.0,38809.87890625,798756
2018-04-09,44600.0,44850.0,44150.0,44850.0,38940.12109375,629565
2018-04-10,44500.0,45150.0,44050.0,44900.0,38983.52734375,1341430
2018-04-11,44350.0,44900.0,44350.0,44800.0,38896.703125,1177876
2018-04-12,44900.0,45950.0,44750.0,45000.0,39070.3515625,1157901
2018-04-13,45200.0,45800.0,45150.0,45450.0,39461.05859375,883519
2018-04-16,45700.0,45850.0,45200.0,45650.0,39634.69921875,517399
2018-04-17,45700.0,46050.0,45400.0,45450.0,39461.05859375,842271
2018-04-18,45300.0,46100.0,45250.0,46100.0,40025.40625,1065377
2018-04-19,45850.0,46300.0,45800.0,46050.0,39981.9921875,880716
2018-04-20,46050.0,46500.0,45350.0,45400.0,39417.640625,695763
2018-04-23,45900.0,46350.0,45150.0,46100.0,40025.40625,1405602
2018-04-24,46300.0,47100.0,46200.0,46900.0,40719.984375,1246516
2018-04-25,46850.0,46850.0,46350.0,46500.0,40372.6953125,776259
2018-04-26,46750.0,47150.0,46500.0,47050.0,40850.22265625,926485
2018-04-27,47600.0,48000.0,47050.0,47200.0,40980.4609375,1013073
2018-04-30,47800.0,48000.0,47300.0,47650.0,41371.15625,595793
2018-05-02,48450.0,48450.0,47600.0,48150.0,41805.27734375,1117733
2018-05-03,48000.0,48150.0,47500.0,47600.0,41327.74609375,637842
2018-05-04,47250.0,47300.0,46600.0,46800.0,40633.1640625,689565
2018-05-08,46600.0,47100.0,46350.0,46950.0,40763.40234375,635250
2018-05-09,46750.0,47350.0,46350.0,46700.0,40546.34375,838852
2018-05-10,47350.0,48000.0,46950.0,48000.0,41675.04296875,1097288
2018-05-11,47500.0,48050.0,47500.0,47700.0,41414.5703125,769095
2018-05-14,47650.0,48100.0,47600.0,48100.0,41761.86328125,686548
2018-05-15,47800.0,48400.0,47800.0,48100.0,41761.86328125,824327
2018-05-16,48100.0,48400.0,47900.0,48400.0,42022.328125,753861
2018-05-17,48450.0,48450.0,48050.0,48200.0,41848.6875,724445
2018-05-18,48050.0,48200.0,47450.0,47750.0,41457.984375,1289283
2018-05-21,47350.0,48300.0,47350.0,47950.0,41631.6328125,664196
2018-05-23,47200.0,47450.0,46800.0,47000.0,40806.8125,829859
2018-05-24,47050.0,47650.0,46700.0,47050.0,40850.22265625,477225
2018-05-25,47050.0,47150.0,46200.0,46350.0,40242.46484375,716044
2018-05-28,46750.0,46900.0,46150.0,46350.0,40242.46484375,369865
2018-05-29,46100.0,46550.0,45500.0,46250.0,40155.640625,425642
2018-05-30,45600.0,45700.0,44400.0,44750.0,38853.29296875,1299467
2018-05-31,44600.0,45000.0,43750.0,43750.0,37985.0625,2649024
2018-06-01,44100.0,44550.0,43900.0,44300.0,38462.59375,601472
2018-06-04,44400.0,45500.0,44300.0,45500.0,39504.46875,913880
2018-06-05,45450.0,45850.0,44600.0,45850.0,39808.34765625,852324
2018-06-07,46500.0,47250.0,46400.0,47150.0,40937.04296875,1235685
2018-06-08,47250.0,47600.0,46800.0,47450.0,41197.515625,895209
2018-06-11,47600.0,47650.0,46800.0,47550.0,41284.33984375,710540
2018-06-12,47550.0,47750.0,47000.0,47250.0,41023.8671875,828260
2018-06-14,46700.0,47000.0,46350.0,46700.0,40546.34375,1744218
2018-06-15,46250.0,46300.0,45150.0,45500.0,39504.46875,1555410
2018-06-18,45800.0,46650.0,45500.0,45900.0,39851.7578125,987510
2018-06-19,45000.0,46150.0,44900.0,45450.0,39461.05859375,1030076
2018-06-20,45650.0,46250.0,45000.0,45000.0,39070.3515625,859063
2018-06-21,44150.0,44850.0,43750.0,43800.0,38028.47265625,1053561
2018-06-22,43400.0,44050.0,43400.0,43800.0,38028.47265625,937611
2018-06-25,44900.0,44900.0,43550.0,44250.0,38419.1796875,1289208
2018-06-26,44200.0,45150.0,44050.0,44600.0,38723.0625,964897
2018-06-27,44250.0,45200.0,44100.0,44100.0,38288.9453125,846862
2018-06-28,43650.0,44050.0,43000.0,43000.0,37333.89453125,961634
2018-06-29,42950.0,43550.0,42700.0,43300.0,37594.359375,817645
2018-07-02,43550.0,44200.0,43000.0,43050.0,37377.30078125,932993
2018-07-03,43350.0,43400.0,42350.0,42950.0,37290.4765625,812336
2018-07-04,42350.0,43100.0,42350.0,42800.0,37160.24609375,497383
2018-07-05,42450.0,43400.0,42400.0,42900.0,37247.0703125,459214
2018-07-06,43000.0,44450.0,43000.0,43900.0,38115.296875,976285
2018-07-09,43850.0,44850.0,43750.0,44600.0,38723.0625,768318
2018-07-10,44850.0,45000.0,44450.0,44550.0,38679.6484375,801865
2018-07-11,43400.0,44700.0,43400.0,44550.0,38679.6484375,742209
2018-07-12,44200.0,44500.0,43800.0,44050.0,38245.53125,852322
2018-07-13,44350.0,45400.0,44300.0,45200.0,39243.99609375,716919
2018-07-16,44700.0,45200.0,44500.0,45150.0,39200.58203125,783144
2018-07-17,45100.0,45700.0,44900.0,45700.0,39678.1171875,604077
2018-07-18,45500.0,45550.0,44700.0,44950.0,39026.9375,586205
2018-07-19,44750.0,45250.0,44300.0,44500.0,38636.23828125,1096365
2018-07-20,44200.0,45100.0,43900.0,44500.0,38636.23828125,762075
2018-07-23,45050.0,45850.0,44700.0,45400.0,39417.640625,944100
2018-07-24,44500.0,45050.0,44400.0,44400.0,38549.4140625,752876
2018-07-25,44400.0,44800.0,44200.0,44250.0,38419.1796875,1252972
2018-07-26,44250.0,44500.0,43450.0,43450.0,37724.59375,2374170
2018-07-27,43750.0,44050.0,43100.0,43750.0,37985.0625,818331
2018-07-30,43750.0,44250.0,43600.0,43600.0,37854.83203125,836530
2018-07-31,43900.0,43900.0,43100.0,43550.0,37811.41796875,1317645
2018-08-01,43700.0,43950.0,43150.0,43300.0,37594.359375,1009130
2018-08-02,43400.0,43500.0,42550.0,42550.0,36943.1875,1057069
2018-08-03,42750.0,43150.0,42400.0,43050.0,37377.30078125,979149
2018-08-06,43050.0,43250.0,42800.0,43000.0,37333.89453125,661231
2018-08-07,42850.0,43250.0,42550.0,42650.0,37030.01171875,854074
2018-08-08,42700.0,43700.0,42650.0,43400.0,37681.18359375,1613802
2018-08-09,43600.0,43650.0,42850.0,43100.0,37420.71875,1083410
2018-08-10,43050.0,43500.0,42550.0,43100.0,37420.71875,653372
2018-08-13,42800.0,43050.0,42150.0,42550.0,36943.1875,933797
2018-08-14,42600.0,43150.0,42200.0,43000.0,37333.89453125,842132
2018-08-16,41250.0,42900.0,41250.0,42650.0,37030.01171875,1016342
2018-08-17,42650.0,42900.0,42200.0,42900.0,37247.0703125,572366
2018-08-20,43300.0,43350.0,42600.0,42800.0,37160.24609375,491336
