Date,Open,High,Low,Close,Adj Close,Volume
2018-01-03,42600.0,43800.0,40800.0,42200.0,42200.0,1699854
2018-01-04,42550.0,50400.0,41300.0,46150.0,46150.0,4831301
2018-01-05,46900.0,48500.0,45000.0,47950.0,47950.0,2169852
2018-01-08,48800.0,51300.0,46400.0,49350.0,49350.0,2210761
2018-01-09,49250.0,50500.0,45400.0,46400.0,46400.0,1800156
2018-01-10,46200.0,47950.0,44050.0,47000.0,47000.0,1383641
2018-01-11,47550.0,49650.0,47250.0,48500.0,48500.0,1293605
2018-01-12,49050.0,49550.0,45250.0,47250.0,47250.0,1528861
2018-01-15,47300.0,51600.0,46450.0,50900.0,50900.0,2362320
2018-01-16,51100.0,52100.0,49050.0,50500.0,50500.0,1443469
2018-01-17,50400.0,54400.0,49750.0,54400.0,54400.0,1547398
2018-01-18,53300.0,54800.0,52500.0,54000.0,54000.0,1128972
2018-01-19,55000.0,58000.0,47400.0,48050.0,48050.0,2441858
2018-01-22,48450.0,50400.0,46850.0,47050.0,47050.0,1211250
2018-01-23,48500.0,51500.0,47350.0,50700.0,50700.0,1199568
2018-01-24,51000.0,51300.0,49400.0,49950.0,49950.0,1057101
2018-01-25,47700.0,49100.0,46800.0,48250.0,48250.0,1816091
2018-01-26,49850.0,50400.0,48300.0,48450.0,48450.0,826790
2018-01-29,48550.0,48700.0,46100.0,46200.0,46200.0,1188756
2018-01-30,45400.0,47300.0,44750.0,45150.0,45150.0,975391
2018-01-31,45300.0,47100.0,43700.0,46500.0,46500.0,960708
